,Pairs,Follows,Followed_by
0,"('danaeschulz', 'hmchvr')",False,False
1,"('danaeschulz', 'AthleticsCMS')",False,False
2,"('danaeschulz', 'akgonzal327')",False,False
3,"('danaeschulz', 'zephs_mom')",False,False
4,"('danaeschulz', 'SParkingCareers')",False,False
5,"('danaeschulz', 'erikawdyson')",False,False
6,"('danaeschulz', 'hamhatch')",False,False
7,"('danaeschulz', 'dagan_karp')",False,False
8,"('danaeschulz', 'MatinaDonaldson')",True,True
9,"('danaeschulz', 'KarlHaus')",False,False
10,"('danaeschulz', 'HaydeeLindo')",False,True
11,"('danaeschulz', 'ProfStoebel')",True,True
12,"('danaeschulz', 'themuddraker')",False,False
13,"('danaeschulz', 'hmc_dsa')",False,False
14,"('danaeschulz', 'HarveyMuddOCE')",False,False
15,"('danaeschulz', 'ProfOmarMath')",False,False
16,"('danaeschulz', 'Eliot_Bush')",True,True
17,"('danaeschulz', 'rsourspa')",False,False
18,"('danaeschulz', 'briposadas')",False,False
19,"('danaeschulz', 'elizjohansen')",False,False
20,"('danaeschulz', 'mattspencer_ee')",False,False
21,"('danaeschulz', 'XandaSchofield')",False,True
22,"('danaeschulz', 'stldenbroncofan')",False,False
23,"('danaeschulz', 'ohmaimy')",False,False
24,"('danaeschulz', 'PITraders')",False,False
25,"('danaeschulz', 'HMCDOS')",False,False
26,"('danaeschulz', 'BlaineHackman')",False,False
27,"('danaeschulz', 'hmcen_official')",False,False
28,"('danaeschulz', 'DaringRant')",False,False
29,"('danaeschulz', 'abby_korth')",False,False
30,"('danaeschulz', 'caitlin_vierra')",False,False
31,"('danaeschulz', 'rf_mehlinger')",False,False
32,"('danaeschulz', 'tony1athome')",False,False
33,"('danaeschulz', 'vanessareality')",False,False
34,"('danaeschulz', 'jtamm7')",False,False
35,"('danaeschulz', 'gavmdr')",False,False
36,"('danaeschulz', 'equan430')",False,False
37,"('danaeschulz', 'terribletasman')",False,False
38,"('danaeschulz', 'hocherie1')",False,False
39,"('danaeschulz', 'jkim720')",False,False
40,"('danaeschulz', 'InqHmc')",False,False
41,"('danaeschulz', 'claremontind')",False,False
42,"('danaeschulz', 'cmcforum')",False,False
43,"('danaeschulz', 'KGIpres')",False,False
44,"('danaeschulz', 'KeckGrad')",False,False
45,"('danaeschulz', 'hkbyoung')",False,False
46,"('danaeschulz', 'macavity42')",False,False
47,"('danaeschulz', 'JackRNewhouse')",False,False
48,"('danaeschulz', 'everner')",False,False
49,"('danaeschulz', 'raunak_pednekar')",False,False
50,"('danaeschulz', 'leslieforrrestr')",False,False
51,"('danaeschulz', 'hmcicecreambike')",False,False
52,"('danaeschulz', 'rdchambers')",False,False
53,"('danaeschulz', 'Craigni')",False,False
54,"('danaeschulz', 'LucidLunatic')",False,False
55,"('danaeschulz', 'EvanHub')",False,False
56,"('danaeschulz', 'HEKS86')",False,False
57,"('danaeschulz', 'elsweato')",False,False
58,"('danaeschulz', 'StephenBlankley')",False,False
59,"('danaeschulz', 'SoniaMinassian')",False,False
60,"('danaeschulz', 'stephani_shusta')",False,False
61,"('danaeschulz', 'moniebalogna')",False,False
62,"('danaeschulz', 'susanna_todaro')",False,False
63,"('danaeschulz', 'gmcredo1')",False,False
64,"('danaeschulz', 'EvannRamona')",False,False
65,"('danaeschulz', 'jonessurgery')",False,False
66,"('danaeschulz', 'FinalFrog')",False,False
67,"('danaeschulz', 'MsKretsch')",False,False
68,"('danaeschulz', 'gharrettwong')",False,False
69,"('danaeschulz', 'steuard')",False,False
70,"('danaeschulz', 'Aerathil')",False,False
71,"('danaeschulz', 'aocole')",False,False
72,"('danaeschulz', 'carlosdavis')",False,False
73,"('danaeschulz', 'mentaikosupaget')",False,False
74,"('danaeschulz', 'pboothe')",False,False
75,"('danaeschulz', 'jtbandes')",False,False
76,"('danaeschulz', 'yogurtearl')",False,False
77,"('danaeschulz', 'haaksmash')",False,False
78,"('danaeschulz', 'angusho')",False,False
79,"('danaeschulz', 'gdarklighter')",False,False
80,"('danaeschulz', 'emalminator')",False,False
81,"('danaeschulz', 'danwr')",False,False
82,"('danaeschulz', 'Kevin_Hainline')",False,False
83,"('danaeschulz', 'djtrindle')",False,False
84,"('danaeschulz', 'ekayfoli')",False,False
85,"('danaeschulz', 'dyong')",False,False
86,"('danaeschulz', 'mtauraso')",False,False
87,"('danaeschulz', 'eriksowa')",False,False
88,"('danaeschulz', 'siapplebaum')",False,False
89,"('danaeschulz', 'schimonster')",False,False
90,"('danaeschulz', 'MikePricePhD')",False,False
91,"('danaeschulz', 'jessibythebay')",False,False
92,"('danaeschulz', 'jtspender')",False,False
93,"('danaeschulz', 'drmorr0')",False,False
94,"('danaeschulz', 'dorianscrima')",False,False
95,"('danaeschulz', 'jeffreydrummond')",False,False
96,"('danaeschulz', 'blampin')",False,False
97,"('danaeschulz', 'franceshocutt')",False,False
98,"('danaeschulz', 'MoreLuckey')",False,False
99,"('hmchvr', 'AthleticsCMS')",True,False
100,"('hmchvr', 'akgonzal327')",False,False
101,"('hmchvr', 'zephs_mom')",False,False
102,"('hmchvr', 'SParkingCareers')",False,False
103,"('hmchvr', 'erikawdyson')",False,False
104,"('hmchvr', 'hamhatch')",False,False
105,"('hmchvr', 'dagan_karp')",False,False
106,"('hmchvr', 'MatinaDonaldson')",False,False
107,"('hmchvr', 'KarlHaus')",False,False
108,"('hmchvr', 'HaydeeLindo')",False,False
109,"('hmchvr', 'ProfStoebel')",False,False
110,"('hmchvr', 'themuddraker')",False,False
111,"('hmchvr', 'hmc_dsa')",False,False
112,"('hmchvr', 'HarveyMuddOCE')",False,False
113,"('hmchvr', 'ProfOmarMath')",False,False
114,"('hmchvr', 'Eliot_Bush')",False,False
115,"('hmchvr', 'rsourspa')",False,False
116,"('hmchvr', 'briposadas')",False,False
117,"('hmchvr', 'elizjohansen')",False,False
118,"('hmchvr', 'mattspencer_ee')",False,False
119,"('hmchvr', 'XandaSchofield')",False,False
120,"('hmchvr', 'stldenbroncofan')",False,False
121,"('hmchvr', 'ohmaimy')",False,False
122,"('hmchvr', 'PITraders')",False,False
123,"('hmchvr', 'HMCDOS')",False,False
124,"('hmchvr', 'BlaineHackman')",False,False
125,"('hmchvr', 'hmcen_official')",False,False
126,"('hmchvr', 'DaringRant')",False,False
127,"('hmchvr', 'abby_korth')",False,False
128,"('hmchvr', 'caitlin_vierra')",False,False
129,"('hmchvr', 'rf_mehlinger')",False,False
130,"('hmchvr', 'tony1athome')",False,False
131,"('hmchvr', 'vanessareality')",False,False
132,"('hmchvr', 'jtamm7')",False,False
133,"('hmchvr', 'gavmdr')",False,False
134,"('hmchvr', 'equan430')",False,False
135,"('hmchvr', 'terribletasman')",False,False
