,Pairs,Follows,Followed_by
0,"('danaeschulz', 'hmchvr')",False,False
1,"('danaeschulz', 'AthleticsCMS')",False,False
2,"('danaeschulz', 'akgonzal327')",,
3,"('danaeschulz', 'zephs_mom')",,
4,"('danaeschulz', 'SParkingCareers')",,
5,"('danaeschulz', 'erikawdyson')",,
6,"('danaeschulz', 'hamhatch')",,
7,"('danaeschulz', 'dagan_karp')",,
8,"('danaeschulz', 'MatinaDonaldson')",,
9,"('danaeschulz', 'KarlHaus')",,
10,"('danaeschulz', 'HaydeeLindo')",,
11,"('danaeschulz', 'ProfStoebel')",,
12,"('danaeschulz', 'themuddraker')",,
13,"('danaeschulz', 'hmc_dsa')",,
14,"('danaeschulz', 'HarveyMuddOCE')",,
15,"('danaeschulz', 'ProfOmarMath')",,
16,"('danaeschulz', 'Eliot_Bush')",,
17,"('danaeschulz', 'rsourspa')",,
18,"('danaeschulz', 'briposadas')",,
19,"('danaeschulz', 'elizjohansen')",,
20,"('danaeschulz', 'mattspencer_ee')",,
21,"('danaeschulz', 'XandaSchofield')",,
22,"('danaeschulz', 'stldenbroncofan')",,
23,"('danaeschulz', 'ohmaimy')",,
24,"('danaeschulz', 'PITraders')",,
25,"('danaeschulz', 'HMCDOS')",,
26,"('danaeschulz', 'BlaineHackman')",,
27,"('danaeschulz', 'hmcen_official')",,
28,"('danaeschulz', 'DaringRant')",,
29,"('danaeschulz', 'abby_korth')",,
30,"('danaeschulz', 'caitlin_vierra')",,
31,"('danaeschulz', 'rf_mehlinger')",,
32,"('danaeschulz', 'tony1athome')",,
33,"('danaeschulz', 'vanessareality')",,
34,"('danaeschulz', 'jtamm7')",,
35,"('danaeschulz', 'gavmdr')",,
36,"('danaeschulz', 'equan430')",,
37,"('danaeschulz', 'terribletasman')",,
38,"('danaeschulz', 'hocherie1')",,
39,"('danaeschulz', 'jkim720')",,
40,"('danaeschulz', 'InqHmc')",,
41,"('danaeschulz', 'claremontind')",,
42,"('danaeschulz', 'cmcforum')",,
43,"('danaeschulz', 'KGIpres')",,
44,"('danaeschulz', 'KeckGrad')",,
45,"('danaeschulz', 'hkbyoung')",,
46,"('danaeschulz', 'macavity42')",,
47,"('danaeschulz', 'JackRNewhouse')",,
48,"('danaeschulz', 'everner')",,
49,"('danaeschulz', 'raunak_pednekar')",,
50,"('danaeschulz', 'leslieforrrestr')",,
51,"('danaeschulz', 'hmcicecreambike')",,
52,"('danaeschulz', 'rdchambers')",,
53,"('danaeschulz', 'Craigni')",,
54,"('danaeschulz', 'LucidLunatic')",,
55,"('danaeschulz', 'EvanHub')",,
56,"('danaeschulz', 'HEKS86')",,
57,"('danaeschulz', 'elsweato')",,
58,"('danaeschulz', 'StephenBlankley')",,
59,"('danaeschulz', 'SoniaMinassian')",,
60,"('danaeschulz', 'stephani_shusta')",,
61,"('danaeschulz', 'moniebalogna')",,
62,"('danaeschulz', 'susanna_todaro')",,
63,"('danaeschulz', 'gmcredo1')",,
64,"('danaeschulz', 'EvannRamona')",,
65,"('danaeschulz', 'jonessurgery')",,
66,"('danaeschulz', 'FinalFrog')",,
67,"('danaeschulz', 'MsKretsch')",,
68,"('danaeschulz', 'gharrettwong')",,
69,"('danaeschulz', 'steuard')",,
70,"('danaeschulz', 'Aerathil')",,
71,"('danaeschulz', 'aocole')",,
72,"('danaeschulz', 'carlosdavis')",,
73,"('danaeschulz', 'mentaikosupaget')",,
74,"('danaeschulz', 'pboothe')",,
75,"('danaeschulz', 'jtbandes')",,
76,"('danaeschulz', 'yogurtearl')",,
77,"('danaeschulz', 'haaksmash')",,
78,"('danaeschulz', 'angusho')",,
79,"('danaeschulz', 'gdarklighter')",,
80,"('danaeschulz', 'emalminator')",,
81,"('danaeschulz', 'danwr')",,
82,"('danaeschulz', 'Kevin_Hainline')",,
83,"('danaeschulz', 'djtrindle')",,
84,"('danaeschulz', 'ekayfoli')",,
85,"('danaeschulz', 'dyong')",,
86,"('danaeschulz', 'mtauraso')",,
87,"('danaeschulz', 'eriksowa')",,
88,"('danaeschulz', 'siapplebaum')",,
89,"('danaeschulz', 'schimonster')",,
90,"('danaeschulz', 'MikePricePhD')",,
91,"('danaeschulz', 'jessibythebay')",,
92,"('danaeschulz', 'jtspender')",,
93,"('danaeschulz', 'drmorr0')",,
94,"('danaeschulz', 'dorianscrima')",,
95,"('danaeschulz', 'jeffreydrummond')",,
96,"('danaeschulz', 'blampin')",,
97,"('danaeschulz', 'franceshocutt')",,
98,"('danaeschulz', 'MoreLuckey')",,
99,"('hmchvr', 'AthleticsCMS')",,
100,"('hmchvr', 'akgonzal327')",,
101,"('hmchvr', 'zephs_mom')",,
102,"('hmchvr', 'SParkingCareers')",,
103,"('hmchvr', 'erikawdyson')",,
104,"('hmchvr', 'hamhatch')",,
105,"('hmchvr', 'dagan_karp')",,
106,"('hmchvr', 'MatinaDonaldson')",,
107,"('hmchvr', 'KarlHaus')",,
108,"('hmchvr', 'HaydeeLindo')",,
109,"('hmchvr', 'ProfStoebel')",,
110,"('hmchvr', 'themuddraker')",,
111,"('hmchvr', 'hmc_dsa')",,
112,"('hmchvr', 'HarveyMuddOCE')",,
113,"('hmchvr', 'ProfOmarMath')",,
114,"('hmchvr', 'Eliot_Bush')",,
115,"('hmchvr', 'rsourspa')",,
116,"('hmchvr', 'briposadas')",,
117,"('hmchvr', 'elizjohansen')",,
118,"('hmchvr', 'mattspencer_ee')",,
119,"('hmchvr', 'XandaSchofield')",,
120,"('hmchvr', 'stldenbroncofan')",,
121,"('hmchvr', 'ohmaimy')",,
122,"('hmchvr', 'PITraders')",,
123,"('hmchvr', 'HMCDOS')",,
124,"('hmchvr', 'BlaineHackman')",,
125,"('hmchvr', 'hmcen_official')",,
126,"('hmchvr', 'DaringRant')",,
127,"('hmchvr', 'abby_korth')",,
128,"('hmchvr', 'caitlin_vierra')",,
129,"('hmchvr', 'rf_mehlinger')",,
130,"('hmchvr', 'tony1athome')",,
131,"('hmchvr', 'vanessareality')",,
132,"('hmchvr', 'jtamm7')",,
133,"('hmchvr', 'gavmdr')",,
134,"('hmchvr', 'equan430')",,
135,"('hmchvr', 'terribletasman')",,
136,"('hmchvr', 'hocherie1')",,
137,"('hmchvr', 'jkim720')",,
138,"('hmchvr', 'InqHmc')",,
139,"('hmchvr', 'claremontind')",,
140,"('hmchvr', 'cmcforum')",,
141,"('hmchvr', 'KGIpres')",,
142,"('hmchvr', 'KeckGrad')",,
143,"('hmchvr', 'hkbyoung')",,
144,"('hmchvr', 'macavity42')",,
145,"('hmchvr', 'JackRNewhouse')",,
146,"('hmchvr', 'everner')",,
147,"('hmchvr', 'raunak_pednekar')",,
