,Unnamed: 0.1,Unnamed: 0,tweet_id,author_id,created_at,retweet_count,reply_count,like_count,quote_count,tweet_text,conversation_id,in_reply_to_user_id,usernames,epoch_time
0,0,0,1539389584336793600,2680275613,2022-06-21 23:27:32+00:00,3,1,7,0,A new school year ... have you considered having your department join the QSIDE consortium?  All sorts of benefits for your faculty &amp; students + supports justice work in Math. Drop me a dm to set up an informational presentation for your dept. #MathTwitter https://t.co/sEhTRiBmYh,1539389584336793600,,HaydeeLindo,1655879252.0
1,1,1,1536501694003036166,2680275613,2022-06-14 00:12:05+00:00,35,0,0,0,"RT @LGBTMath: Today Spectra highlights Mohamed Omar, an Associate Professor of Mathematics at Harvey Mudd College and Joseph B. Platt Chair…",1536501694003036166,,HaydeeLindo,1655190725.0
2,2,2,1530691093154566145,2189918276,2022-05-28 23:22:50+00:00,0,1,0,0,"@tef_ebooks As a math major turned distributed systems engineer I'm glad I had people who spent the time teaching me ""how computers actually work"". It was seldom ""required"" for a task, but learning about mmap, page faults, ram caches, branch prediction etc. all helps me move more confidently",1530687825657708546,3107896458.0,JackRNewhouse,1653805370.0
3,3,3,1546916906271068161,15683188,2022-07-12 17:58:25+00:00,0,0,0,0,@alh_ast when I saw it at the media briefing Sunday I immediately pulled up a calculator to do the math because I couldn't believe it. It's absolutely insane to see this.,1546909495745454086,15683188.0,Kevin_Hainline,1657673905.0
4,4,4,1541500294735040512,19376359,2022-06-27 19:14:44+00:00,0,0,0,0,"Math terminology question! Imagine I have a family of functions f_z(x) defined by a single parameter ""z"", where f_0(x)=g(x) and f_1(x)=h(x). I've sometimes said that this family f ""interpolates"" between g and h, but I'm told that's the wrong word. What's the correct term?",1541500294735040512,,steuard,1656382484.0
5,5,5,1536075063916498946,19552852,2022-06-12 19:56:48+00:00,0,1,4,0,"@MasonAcevedo5 I'm really sorry you had this experience, Mason. I strongly disagree that it's because you're dumb and bad at math.  That's not the person I know. If you ever want to chat more about it, let me know.",1536010061335695363,1.088155520651866e+18,dyong,1655089008.0
6,6,6,1534367226186194944,19376359,2022-06-08 02:50:28+00:00,3,0,0,0,"RT @melodymorris78: @mathyawp Year after year, I am seeing students who hated math prior to taking Discrete Math, whether they previously t…",1534367226186194944,,steuard,1654681828.0
7,7,7,1534326957063565313,19176407,2022-06-08 00:10:27+00:00,0,0,3,0,"@benfrosh it was calculated

but boy are we bad at math-",1534323426348892161,257368229.0,Aerathil,1654672227.0
8,8,8,1533867903082110977,7284142,2022-06-06 17:46:20+00:00,33,0,0,0,RT @mathyawp: I haven't heard anyone mention discrete mathematics as a high school pathway option. So we say it here! Calculus doesn't have…,1533867903082110977,,mentaikosupaget,1654562780.0
9,9,9,1533526529250013186,19376359,2022-06-05 19:09:50+00:00,74,0,0,0,"RT @mathyawp: I wrote this op-ed with @deloera_ja for the @sacbee_news, advocating for an update to the math curriculum. Looks like they ed…",1533526529250013186,,steuard,1654481390.0
10,10,10,1525266062610051074,7284142,2022-05-14 00:05:42+00:00,800,0,0,0,"RT @SarahTaber_bww: More data on how most food price inflation is from *food co's padding their profit margins.*

Not from rising labor &amp; r…",1525266062610051074,,mentaikosupaget,1652511942.0
